t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
3.2295000000000003,13.288561595458173,13.68813652475482,23.333868502294262,58.439622049387395,-37.415302055717355,175.2620206165568,62.43537134235386,85.73334135073273,119.67121820117708,-377.83679975946757,41.06440957426446,-388.99774994138625
3.1985,11.354805073140932,10.518832612376979,20.468375576859323,68.65277470034123,-38.547564527956546,188.64084003391295,60.29305009270169,113.54885912444945,64.85627675972765,-283.95619124058953,31.556497837130937,-481.19762337903944
8.6755,5.5338597215442125,3.801237329209826,13.412848154499757,60.444457345341405,-7.675934537094895,111.02723351400158,43.118233421997544,84.59794925774818,-14.732528025459953,-111.42987644124901,11.403711987629478,-299.5400069858141
1.6165,-1.4517509878478188,-8.636855805823354,15.459977403844961,73.8493434334586,-3.5141683834828648,119.74106313036987,1.9982952537032475,-6.053966002295828,-28.68855779483014,59.67625216483761,-25.910567417470062,-55.7014505336424
5.8575,11.006546599709322,16.47255875508109,38.0964620594708,-116.82954299579,7.298264418371971,-216.84458790188648,-62.16942144207235,-134.89800332321556,79.714150180259,-510.71666663956023,49.417676265243266,-2282.346373145562
2.327,-5.787077443667518,-17.836806626945513,15.307439640643592,102.25050631306807,-27.782769877096296,111.57579838124084,-18.246785519711892,-27.833253253978132,62.402632008151414,170.785334510732,-53.51041988083654,449.43546980012775
6.049,-4.35296148524199,5.850140055562411,27.268239631617515,-150.96422353679884,12.380816234603941,-441.60529759124734,-48.93320812875484,-21.416280990161802,-98.18164897076905,-8.55879737680118,17.550420166687232,299.5243527099692
2.6525,2.3723414277162127,-8.865547252400091,20.043110302883758,171.28145723582713,-43.25802030270594,359.1730837201774,58.902570434664085,71.0000266193432,-74.4810672709445,6.411684239455923,-26.596641757200274,-158.71769698542312
5.496,1.184275455964837,5.599662315719277,9.991679523530706,-31.830639691082645,-8.741470720903237,-38.44002921460201,12.323228906461758,24.468620348615545,-20.01326914320177,-24.11939160757619,16.79898694715783,66.3587413237459
2.4595000000000002,-6.32901453643984,-18.07471288772489,24.259050280941384,135.83864945576562,-35.187385781191864,217.31454221722586,18.38166594291512,29.585573516904237,49.70351122420095,302.63671930113173,-54.22413866317467,1122.1712050703304
2.1665,-3.048263825808488,-13.076153435495632,9.497370209396866,87.89350239305205,-20.38796791185153,79.18616584540496,-12.385393703819389,-22.93677572567486,14.532928360744098,36.29556769872666,-39.228460306486895,42.89547277327506
7.2525,1.2604765777280675,-1.6828947384256854,14.759057025110957,43.945864324102175,-4.607097925730553,79.87801649764258,14.512151162564646,22.979891151036878,-41.47922676943077,-19.107924912418298,-5.048684215277056,-150.1806473992126
5.6705000000000005,5.907505482230652,14.848297683045267,11.07398193659838,-41.11007301321305,-3.901996098343274,-35.76116305190525,48.2978489949331,89.04424291717812,58.185412334055705,-123.31970731806581,44.5448930491358,-97.64057544150927
9.3795,-6.273008184655463,-9.32508284471645,15.78879024229012,-3.8419561965876734,-0.7922998222982209,-25.29639066490245,-34.362702797197535,-66.48363608764406,16.39235406838148,151.07373322379374,-27.97524853414935,192.30406614103498
7.597,15.69691822234966,17.344958147704276,35.28556726804562,-26.58911554907577,4.585040812355278,4.022438531998151,-10.108716295529621,-136.29095256999906,178.16636738089423,-585.4375719331794,52.03487444311283,-978.4364106247323
5.5415,1.862069735613847,6.955088574043217,9.257284614177623,-33.072808369094396,-7.890481326691908,-35.739777042046846,17.857380015199304,35.835635835812546,-11.735540938387926,-31.312426077638456,20.865265722129653,51.23337035760602
5.8305,12.195529496292398,19.87730871496983,34.9779174723091,-101.74872332853792,5.821689227656353,-158.79413780673133,-24.930931141763608,-110.79839629886588,149.13869221691783,-593.5181404752872,59.631926144909485,-1971.017069431098
0.727,-4.162623109732342,-2.4918139719413372,32.95051558364176,-76.43090819409167,15.390253826619764,-288.0089264110731,-59.72281681618162,7.708690718878872,-77.49665748214053,158.537463308081,-7.475441915824012,361.6514325894209
8.093,-9.987677633853028,-12.275943623295527,21.717317883563442,-12.987567994569678,3.2292367467558685,-65.7385318927415,-35.87022788899466,-53.70269677840217,64.69459596073081,279.58813798238225,-36.82783086988658,375.33017625495074
6.6805,-9.812505106537396,-9.372792831031955,20.034060540152847,-42.15425558995093,6.37687272013266,-125.07285762287228,-37.757132834896524,-75.16990151721859,38.54574827459254,229.9293545971557,-28.118378493095864,406.2076677145694
8.701,6.737516103791027,6.159194409201586,13.285846575453496,57.26444850624578,-7.297503665219366,103.65698117825784,51.48123156035137,100.27515490755175,6.0683044556135,-139.09456045528898,18.477583227604757,-275.76313470063997
8.980500000000001,7.868980736897373,1.0001213362854915,35.67323882830228,-31.047371491890996,2.400915375467647,-41.485351716429186,-99.73596549800982,-63.781605241276765,-87.2598904536431,-4.630195794702164,3.0003640088564745,-692.7067810569595
