t,x_in,theta_in,v_in,omega_in,v_out,omega_out,a_out,alpha_out
30.862000000000002,0.2889942971866166,0.39501046132995066,1.5355094333554,-0.29468483773315024,1.5355094333554,-0.29468483773315024,1.5537236857437717,-5.2091384242758645
9.706,-0.6774185977643586,-0.5285783507856552,-0.6685759940906135,0.5904432977791566,-0.6685759940906135,0.5904432977791566,-0.3056382812084244,5.21117029846532
9.43,-0.5143179495416738,-0.4785529469899376,-0.47380537303463605,-0.9688183097043025,-0.47380537303463605,-0.9688183097043025,-1.1190025624920665,5.510753848073425
32.0,0.44692271252207244,0.47052566902811316,-1.2336128190589537,0.19850581446639587,-1.2336128190589537,0.19850581446639587,1.0787280143594742,-5.408914241991456
26.598,-0.1497727031509614,0.29513855696175656,1.1958521720478799,0.7133582479207972,1.1958521720478799,0.7133582479207972,3.4821242694477874,-6.185022084561145
14.644,-0.20243769714896898,0.0010777325379135866,2.0986804395569925,-0.940353180221374,2.0986804395569925,-0.940353180221374,1.2261503067339026,-1.2367221487928788
23.316,0.8744520529008142,-0.001979038084538788,0.24977374401703595,0.9047082288709772,0.24977374401703595,0.9047082288709772,-5.267725834454516,5.287129869628442
22.06,-0.5623940293381063,-0.4279997050866695,0.2637987355440682,1.2547994763970687,0.2637987355440682,1.2547994763970687,-0.8389969059791461,4.834975399810409
1.108,-0.09456629945170031,-0.17406154651046388,-0.5588082679271011,-1.7579515888104786,-0.5588082679271011,-1.7579515888104786,-1.5932846154260227,3.2681437457519658
33.018,-0.5376190734600284,-0.3620859082614915,-1.5191452824428742,0.8043258662896222,-1.5191452824428742,0.8043258662896222,-0.22487021562113055,3.6852433540752347
2.416,-0.6050820883797593,-0.26616215124841436,1.6265094454293352,-1.0394192623732548,1.6265094454293352,-1.0394192623732548,0.8014002623225234,1.8071499843198522
33.648,-0.9083106274693259,-0.10291689157447861,0.9584746032393547,-0.9307036830083885,0.9584746032393547,-0.9307036830083885,4.312852647856248,-3.282198815569315
13.276,-0.5894366082391592,-0.16256155478668385,-0.16131015634527734,-1.744540654729085,-0.16131015634527734,-1.744540654729085,1.4395622381492126,0.16713137391662014
26.938,0.40834394229228477,0.21632642440564093,1.8835727264313742,-0.9378839001559037,1.8835727264313742,-0.9378839001559037,-0.19567128896471683,-1.9145383725392344
7.142,0.3360558689119575,0.0822637264083825,0.4040025058575313,1.8533011128517511,0.4040025058575313,1.8533011128517511,-0.9244870845117423,0.11526344663098909
26.5,-0.24966080360985798,0.1960739585030079,0.8405487183345185,1.2970369632936694,0.8405487183345185,1.2970369632936694,3.5649679817975923,-5.407844123656194
28.13,0.3840138643992483,0.43275406261840255,-0.6902729490591747,-1.0248794926581613,-0.6902729490591747,-1.0248794926581613,1.5913320497150636,-5.558678737878306
19.67,0.6957670387125054,0.5384631797290181,-0.29878715655363036,0.6950801872185363,-0.29878715655363036,0.6950801872185363,0.3104045832399149,-5.297218786275397
18.164,-0.6668540311937916,-0.16524620493835934,0.06185992286311813,1.6849436160160938,0.06185992286311813,1.6849436160160938,1.891226712854452,-0.25176642117650044
12.9,-0.28992894698929184,0.2373633864308357,-1.5721113424629913,0.0018117694458797962,-1.5721113424629913,0.0018117694458797962,3.773013295447961,-5.973953871092228
4.508,0.4577844804703255,0.2796333526173111,-1.7660331716999051,0.9086750275478391,-1.7660331716999051,0.9086750275478391,0.07768838824807298,-2.7822627104472333
9.436,-0.5171841532723358,-0.48426141370823317,-0.480587343627097,-0.9355041333722841,-0.480587343627097,-0.9355041333722841,-1.1064783277851298,5.54634720972343
14.366,-0.671001761566482,0.12155861899840965,1.0899803697043013,0.31098072181993064,1.0899803697043013,0.31098072181993064,5.142894556277946,-6.294499753530838
21.494,-0.7995036128153452,-0.28262653442901264,0.4054127436618538,-1.4825071457167225,0.4054127436618538,-1.4825071457167225,1.4444881672357044,1.3486224493316123
37.384,-0.9377906751940673,-0.11011749487272406,-0.6726817456645691,1.0180199480496284,-0.6726817456645691,1.0180199480496284,4.388314196858811,-3.2836642413064254
19.632,0.7073354018177226,0.5082848421816676,-0.30959422143500664,0.8909568206832494,-0.30959422143500664,0.8909568206832494,0.2531215145767841,-4.995449244825575
23.67,0.7428542714654606,0.45043438771638944,-0.6538169375497493,1.0420223314680195,-0.6538169375497493,1.0420223314680195,-0.11731039678748399,-4.165238969499048
19.734,0.6772833372856585,0.5719077964092076,-0.2772177789388378,0.34485128231761425,-0.2772177789388378,0.34485128231761425,0.3598746578723295,-5.612145118232844
16.172,0.7282944952239693,0.09825859473456108,-0.07874601462985405,-1.5669881333948066,-0.07874601462985405,-1.5669881333948066,-3.14093377298317,2.1634170007246123
34.432,0.0005888239446248285,-0.09160028854772427,0.5530482789697626,1.8139319913964562,0.5530482789697626,1.8139319913964562,-1.1881478707263922,2.0805094359597844
34.376,-0.032743982633360286,-0.18893412204171073,0.6458174993474144,1.6447871996798415,0.6458174993474144,1.6447871996798415,-2.04900395322688,3.8549784972787076
3.08,0.15731901153771677,0.07023708530492395,0.471537474801805,1.8907380609972644,0.471537474801805,1.8907380609972644,-0.006237909350678388,-0.6822368949189122
6.462,-0.5484943684859971,-0.15370105962374692,1.8129356154492269,-1.0199489793096772,1.8129356154492269,-1.0199489793096772,1.6097967430056725,-0.08894155665445753
35.612,0.9528539090734374,0.029030869229961155,-0.6944523585225089,0.4932938952305573,-0.6944523585225089,0.4932938952305573,-5.420859897106512,5.133822905229175
3.3080000000000003,0.2957313658344697,0.4200410914121208,0.8216947289205636,0.9757525620659603,0.8216947289205636,0.9757525620659603,1.9434266967066993,-5.7749869720331075
32.108000000000004,0.32099944185113183,0.45958477500439826,-1.0827932282654982,-0.41610089220247515,-1.0827932282654982,-0.41610089220247515,1.7135946368654817,-5.887267115043332
33.05,-0.5862714145712344,-0.3345830119170582,-1.5201570365890702,0.9126166192678652,-1.5201570365890702,0.9126166192678652,0.1818021633654291,3.049641274980293
16.716,0.0490081229641649,-0.016688406866058242,-2.1383319039746214,0.9552344422921536,-2.1383319039746214,0.9552344422921536,-0.4728269541390962,0.6364667861803335
19.806,0.6583228804515504,0.5819950012082654,-0.24895400267962714,-0.06561935558574461,-0.24895400267962714,-0.06561935558574461,0.42784923838985595,-5.74988591379591
33.678,-0.8776963689804772,-0.13219047294192252,1.080008057161863,-1.016914252821952,1.080008057161863,-1.016914252821952,3.78243033544423,-2.4564156419910304
25.168,-0.791409731761981,0.03813861524067342,-1.1911192212178436,0.3016183559181852,-1.1911192212178436,0.3016183559181852,5.118263093554265,-5.48859027079174
13.796000000000001,-0.6943659755334071,-0.5429049830053437,-0.31922162014275723,0.6589340036833595,-0.31922162014275723,0.6589340036833595,-0.3137430424384119,5.336726047563808
7.7940000000000005,0.7643880224044353,0.3984202337031761,0.8412613669990371,-1.1455383347197419,0.8412613669990371,-1.1455383347197419,-0.4949121859032909,-3.3497668215228478
26.43,-0.3001124223677466,0.09308468599814314,0.6088065507673439,1.6266034386703154,0.6088065507673439,1.6266034386703154,2.9291935778860005,-3.8283549818399223
1.848,-0.9083331652936489,-0.12639562926652204,-0.9224239834438772,1.0719789015709669,-0.9224239834438772,1.0719789015709669,4.01456680814866,-2.7458991701383786
28.732,-0.06901916563014157,-0.3678178031727829,-1.4384055883226772,-0.175656674060925,-1.4384055883226772,-0.175656674060925,-2.557803631152835,5.914203292693686
0.81,0.08555006499169115,0.3329373368252467,-0.8851660121960876,-1.1655790041071163,-0.8851660121960876,-1.1655790041071163,2.675034723547329,-5.734247869651114
24.008,0.5397453981215667,0.5083938714071103,-0.49013509762820284,-0.7785360816338139,-0.49013509762820284,-0.7785360816338139,0.9926780657773071,-5.642393098817199
39.546,0.9621484940354584,0.014234248213825944,-0.06649038592239795,-0.5754934404658035,-0.06649038592239795,-0.5754934404658035,-5.627417614701497,5.4872142684364
25.882,-0.5992151471899541,-0.5419908649085726,0.7783117144327241,-0.16816858852202302,0.7783117144327241,-0.16816858852202302,-0.5959049771988683,5.570917358285391
